type,time,channel,note,velocity,pitch 
pitchwheel,7.532567739486694,1,,,-2
note_on,7.533077955245972,1,65,127,
note_off,7.563762903213501,1,65,64,
pitchwheel,7.5645997524261475,1,,,-7
note_on,7.565036058425903,1,64,127,
note_off,7.623508930206299,1,64,64,
pitchwheel,7.644505739212036,0,,,80
note_on,7.644838809967041,0,64,127,
pitchwheel,7.646442890167236,1,,,-7
note_on,7.646913766860962,1,64,127,
note_off,7.673560857772827,0,64,64,
pitchwheel,7.701680898666382,1,,,0
note_off,7.702370882034302,2,60,64,
pitchwheel,7.7625508308410645,2,,,54
note_on,7.763118743896484,2,60,127,
note_off,7.789566993713379,1,64,64,
pitchwheel,7.832557678222656,1,,,-7
note_on,7.83306884765625,1,64,127,
pitchwheel,7.835447788238525,1,,,0
note_off,7.893544912338257,1,64,64,
pitchwheel,7.952659845352173,1,,,-7
note_on,7.953140020370483,1,64,127,
pitchwheel,7.975726842880249,1,,,0
pitchwheel,7.981380939483643,2,,,18
note_off,8.007417917251587,1,64,64,
pitchwheel,8.034437894821167,0,,,21
note_on,8.034743785858154,0,64,40,
pitchwheel,8.036603927612305,1,,,7
note_on,8.036979913711548,1,64,127,
pitchwheel,8.053718090057373,1,,,0
note_off,8.09359097480774,3,52,64,
pitchwheel,8.14865779876709,3,,,-8
note_on,8.149096965789795,3,52,127,
note_off,8.187802791595459,1,64,64,
pitchwheel,8.244720935821533,1,,,-7
note_on,8.245207786560059,1,64,127,
pitchwheel,8.24962306022644,3,,,-44
pitchwheel,8.263768911361694,1,,,0
note_off,8.287575721740723,1,64,64,
pitchwheel,8.35663390159607,1,,,-7
note_on,8.357075929641724,1,64,127,
pitchwheel,8.369669914245605,1,,,0
note_off,8.373360872268677,0,64,64,
note_off,8.409693002700806,1,64,64,
pitchwheel,8.434669733047485,1,,,7
note_on,8.434977769851685,1,64,127,
pitchwheel,8.458513975143433,0,,,7
note_on,8.459022760391235,0,64,14,
pitchwheel,8.47774076461792,1,,,0
note_off,8.485357761383057,2,60,64,
pitchwheel,8.558666944503784,2,,,-14
note_on,8.559090852737427,2,60,127,
pitchwheel,8.595700979232788,2,,,25
note_off,8.597611904144287,1,64,64,
pitchwheel,8.636677742004395,1,,,-7
note_on,8.636967897415161,1,64,127,
pitchwheel,8.65166187286377,1,,,0
pitchwheel,8.652722835540771,5,,,0
note_off,8.679736852645874,1,64,64,
pitchwheel,8.716629981994629,1,,,-34
note_on,8.716944932937622,1,64,127,
pitchwheel,8.729861736297607,1,,,0
note_off,8.777689933776855,0,64,64,
note_off,8.795711040496826,1,64,64,
pitchwheel,8.832556009292603,1,,,-7
note_on,8.832980871200562,1,64,127,
pitchwheel,8.83540391921997,0,,,12
note_on,8.83578872680664,0,64,14,
pitchwheel,8.85369086265564,1,,,0
note_off,8.873958826065063,3,52,64,
pitchwheel,8.922368049621582,3,,,-31
note_on,8.922865867614746,3,52,127,
note_off,8.993580102920532,1,64,64,
pitchwheel,9.020695686340332,1,,,-7
note_on,9.021193981170654,1,64,127,
note_off,9.055651903152466,1,64,64,
pitchwheel,9.094199657440186,1,,,-34
note_on,9.094579935073853,1,64,127,
pitchwheel,9.111737728118896,1,,,0
note_off,9.169802904129028,1,64,64,
pitchwheel,9.210672855377197,1,,,-7
note_on,9.21095085144043,1,64,127,
note_off,9.221505641937256,0,64,64,
pitchwheel,9.22242784500122,1,,,0
note_off,9.263795852661133,4,45,64,
pitchwheel,9.265739917755127,5,,,-38
note_off,9.275712013244629,5,40,64,
pitchwheel,9.32071304321289,4,,,-14
note_on,9.321239709854126,4,45,127,
note_off,9.34363079071045,1,64,64,
pitchwheel,9.392655849456787,1,,,7
note_on,9.393295764923096,1,64,127,
pitchwheel,9.4114089012146,1,,,0
note_off,9.44554877281189,1,64,64,
pitchwheel,9.47673773765564,1,,,-7
note_on,9.476899862289429,1,64,127,
